一级分类,品名,平均价,单位,产地,发布日期,规格
水果,椰青,6.5,个,,2025-04-07 00:00:00,
水果,箱装菠萝,2.45,斤,,2025-04-07 00:00:00,
水果,国产凤梨,5.75,斤,,2025-04-07 00:00:00,
水果,圣女果,5.25,斤,,2025-04-07 00:00:00,千禧
水果,百香果,8.0,斤,,2025-04-07 00:00:00,
水果,人参果,6.0,斤,,2025-04-07 00:00:00,
水果,九九草莓,13.0,斤,,2025-04-07 00:00:00,
水果,蓝莓,42.5,斤,,2025-04-07 00:00:00,
水果,火龙果,6.5,斤,,2025-04-07 00:00:00,红
水果,火龙果,5.5,斤,,2025-04-07 00:00:00,白
水果,木瓜,6.0,斤,,2025-04-07 00:00:00,
水果,柿饼,8.5,斤,,2025-04-07 00:00:00,
水果,桑葚,8.5,斤,,2025-04-07 00:00:00,
水果,羊角蜜,5.4,斤,,2025-04-07 00:00:00,六一
水果,花蕾甜瓜,5.4,斤,,2025-04-07 00:00:00,
水果,绿宝甜瓜,6.65,斤,,2025-04-07 00:00:00,
水果,博阳,5.4,斤,,2025-04-07 00:00:00,系列
水果,富士,3.4,斤,,2025-04-07 00:00:00,纸袋Φ70-84
水果,富士,2.6,斤,,2025-04-07 00:00:00,纸+膜袋
水果,富士,4.75,斤,,2025-04-07 00:00:00,纸袋Φ85以上
水果,黄元帅,2.75,斤,,2025-04-07 00:00:00,
水果,花牛,3.9,斤,,2025-04-07 00:00:00,
水果,阿克苏,4.8,斤,新疆,2025-04-07 00:00:00,冰糖心
水果,国光,2.98,斤,,2025-04-07 00:00:00,
水果,辽宁寒富苹果,2.5,斤,,2025-04-07 00:00:00,
水果,阳光玫瑰,11.0,斤,,2025-04-07 00:00:00,
水果,红提葡萄,5.5,斤,,2025-04-07 00:00:00,
水果,克伦生,5.5,斤,,2025-04-07 00:00:00,
水果,台农,6.25,斤,,2025-04-07 00:00:00,小台
水果,台农,7.25,斤,,2025-04-07 00:00:00,大台
水果,玉文,9.5,斤,,2025-04-07 00:00:00,
水果,青皮,5.25,斤,,2025-04-07 00:00:00,
水果,贵妃芒,7.0,斤,,2025-04-07 00:00:00,
水果,金桔,7.5,斤,,2025-04-07 00:00:00,
水果,油桃,9.5,斤,,2025-04-07 00:00:00,
水果,春雪,12.5,斤,,2025-04-07 00:00:00,
水果,黄油桃,12.0,斤,,2025-04-07 00:00:00,
水果,猕猴桃（徐香）,4.5,斤,,2025-04-07 00:00:00,
水果,猕猴桃（海沃德）,4.0,斤,,2025-04-07 00:00:00,
水果,李子,13.5,斤,,2025-04-07 00:00:00,
水果,无籽小号-大号,3.15,斤,,2025-04-07 00:00:00,
水果,麒麟,3.6,斤,,2025-04-07 00:00:00,甜蜜蜜
水果,黑美人,2.5,斤,,2025-04-07 00:00:00,
水果,特小凤,3.55,斤,,2025-04-07 00:00:00,
水果,L600吊秧瓜,5.0,斤,,2025-04-07 00:00:00,
水果,甜王,2.55,斤,,2025-04-07 00:00:00,
水果,国产香蕉,4.0,斤,,2025-04-07 00:00:00,
水果,进口香蕉,4.5,斤,,2025-04-07 00:00:00,菲律宾、老挝
水果,泰国香蕉,13.0,斤,,2025-04-07 00:00:00,帝王蕉
水果,晓蜜25号,4.15,斤,,2025-04-07 00:00:00,
水果,久红瑞／金蜜,4.0,斤,,2025-04-07 00:00:00,
水果,玉菇,3.65,斤,,2025-04-07 00:00:00,奶香蜜
水果,网纹,5.5,斤,,2025-04-07 00:00:00,
水果,高乐蜜,6.25,斤,,2025-04-07 00:00:00,
水果,水仙芒果,6.25,斤,,2025-04-07 00:00:00,
水果,红灯,24.0,斤,,2025-04-07 00:00:00,
水果,美早,47.5,斤,,2025-04-07 00:00:00,
肉禽蛋,白条猪,9.25,斤,,2025-04-07 00:00:00,瘦
肉禽蛋,白条猪,8.4,斤,,2025-04-07 00:00:00,肥
肉禽蛋,前臀尖,9.25,斤,,2025-04-07 00:00:00,瘦
肉禽蛋,前臀尖,8.25,斤,,2025-04-07 00:00:00,肥
肉禽蛋,后臀尖,9.25,斤,,2025-04-07 00:00:00,瘦
肉禽蛋,后臀尖,8.5,斤,,2025-04-07 00:00:00,肥
肉禽蛋,五花肉,11.75,斤,,2025-04-07 00:00:00,瘦
肉禽蛋,五花肉,10.75,斤,,2025-04-07 00:00:00,肥
肉禽蛋,精五花,15.25,斤,,2025-04-07 00:00:00,
肉禽蛋,纯通脊,11.75,斤,,2025-04-07 00:00:00,
肉禽蛋,通脊,9.25,斤,,2025-04-07 00:00:00,带皮
肉禽蛋,小里脊,13.0,斤,,2025-04-07 00:00:00,
肉禽蛋,梅花肉,11.0,斤,,2025-04-07 00:00:00,
肉禽蛋,纯瘦肉,10.5,斤,,2025-04-07 00:00:00,
肉禽蛋,护心肉,17.5,斤,,2025-04-07 00:00:00,鲜
肉禽蛋,前肘,9.0,斤,,2025-04-07 00:00:00,
肉禽蛋,后肘,7.65,斤,,2025-04-07 00:00:00,
肉禽蛋,月牙骨,19.5,斤,,2025-04-07 00:00:00,
肉禽蛋,猪尾巴,45.0,斤,,2025-04-07 00:00:00,
肉禽蛋,猪蹄,17.5,斤,,2025-04-07 00:00:00,
肉禽蛋,纯排骨,18.5,斤,,2025-04-07 00:00:00,
肉禽蛋,纯腔骨,6.0,斤,,2025-04-07 00:00:00,
肉禽蛋,腔排骨,12.0,斤,,2025-04-07 00:00:00,
肉禽蛋,梅花骨,8.5,斤,,2025-04-07 00:00:00,
肉禽蛋,棒骨,7.75,斤,,2025-04-07 00:00:00,
肉禽蛋,猪头,8.5,斤,,2025-04-07 00:00:00,
肉禽蛋,猪口条,13.0,斤,,2025-04-07 00:00:00,
肉禽蛋,猪耳,23.0,斤,,2025-04-07 00:00:00,
肉禽蛋,猪脑,19.0,斤,,2025-04-07 00:00:00,
肉禽蛋,猪肚,21.0,斤,,2025-04-07 00:00:00,
肉禽蛋,猪板油,6.0,斤,,2025-04-07 00:00:00,
肉禽蛋,肥膘肉,3.5,斤,,2025-04-07 00:00:00,
肉禽蛋,猪腰子,15.0,斤,,2025-04-07 00:00:00,
肉禽蛋,猪心,7.0,斤,,2025-04-07 00:00:00,
肉禽蛋,猪肝,4.0,斤,,2025-04-07 00:00:00,
肉禽蛋,猪肺,2.5,个,,2025-04-07 00:00:00,
肉禽蛋,牛舌,24.0,斤,,2025-04-07 00:00:00,
肉禽蛋,牛骨,4.25,斤,,2025-04-07 00:00:00,
肉禽蛋,牛排骨,27.0,斤,,2025-04-07 00:00:00,
肉禽蛋,牛蹄筋,25.5,斤,,2025-04-07 00:00:00,
肉禽蛋,牛板筋,27.5,斤,,2025-04-07 00:00:00,
肉禽蛋,牛心管,31.5,斤,,2025-04-07 00:00:00,
肉禽蛋,牛肚,17.0,斤,,2025-04-07 00:00:00,
肉禽蛋,牛腰子,9.0,斤,,2025-04-07 00:00:00,
肉禽蛋,牛尾,25.5,斤,,2025-04-07 00:00:00,
肉禽蛋,牛百叶,29.0,斤,,2025-04-07 00:00:00,
肉禽蛋,牛上脑,28.5,斤,,2025-04-07 00:00:00,
肉禽蛋,整羊,21.0,斤,,2025-04-07 00:00:00,
肉禽蛋,去骨羊前腿,28.5,斤,,2025-04-07 00:00:00,
肉禽蛋,去骨羊后腿,31.0,斤,,2025-04-07 00:00:00,
肉禽蛋,羊腰窝,28.5,斤,,2025-04-07 00:00:00,
肉禽蛋,羊肉片,30.0,斤,,2025-04-07 00:00:00,
肉禽蛋,羊腰子,10.5,个,,2025-04-07 00:00:00,挂油
肉禽蛋,羊蝎子,12.5,斤,,2025-04-07 00:00:00,普通
肉禽蛋,羊蝎子,21.0,斤,,2025-04-07 00:00:00,精品
肉禽蛋,羊排骨,21.5,斤,,2025-04-07 00:00:00,
肉禽蛋,猪皮,3.5,斤,,2025-04-07 00:00:00,
肉禽蛋,猪肠头,20.0,斤,,2025-04-07 00:00:00,
肉禽蛋,猪肠,16.0,斤,,2025-04-07 00:00:00,
肉禽蛋,整牛,28.75,斤,,2025-04-07 00:00:00,
肉禽蛋,牛前腱,31.5,斤,,2025-04-07 00:00:00,
肉禽蛋,牛后腱,31.5,斤,,2025-04-07 00:00:00,
肉禽蛋,牛前腿,28.5,斤,,2025-04-07 00:00:00,
肉禽蛋,牛后腿,28.5,斤,,2025-04-07 00:00:00,
肉禽蛋,牛腰窝,31.5,斤,,2025-04-07 00:00:00,
肉禽蛋,肥牛,31.5,斤,,2025-04-07 00:00:00,
肉禽蛋,牛柳,32.0,斤,,2025-04-07 00:00:00,里脊
肉禽蛋,精牛柳,33.5,斤,,2025-04-07 00:00:00,
肉禽蛋,牛腩,28.5,斤,,2025-04-07 00:00:00,
肉禽蛋,牛林,28.0,斤,,2025-04-07 00:00:00,
肉禽蛋,牛金钱腱,45.0,斤,,2025-04-07 00:00:00,
肉禽蛋,牛筋头巴脑,25.0,斤,,2025-04-07 00:00:00,
肉禽蛋,牛宝,18.0,斤,,2025-04-07 00:00:00,
肉禽蛋,牛鞭,50.5,斤,,2025-04-07 00:00:00,
肉禽蛋,牛油,5.0,斤,,2025-04-07 00:00:00,
肉禽蛋,牛心,6.5,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡翅,11.0,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡翅尖,7.5,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡翅中,21.0,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡翅根,7.0,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡边腿,6.4,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡排腿,7.0,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡琵琶腿,7.0,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡胗,12.5,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡爪,20.0,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡心,5.0,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡肝,3.0,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡脖子,5.0,斤,,2025-04-07 00:00:00,去皮
肉禽蛋,鸡头,2.5,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡油,5.25,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡架子,3.0,斤,,2025-04-07 00:00:00,
肉禽蛋,白条乌鸡,11.0,斤,,2025-04-07 00:00:00,净膛
肉禽蛋,黑爪公鸡,10.5,斤,,2025-04-07 00:00:00,净膛
肉禽蛋,白条鹅,11.5,斤,,2025-04-07 00:00:00,净膛
肉禽蛋,白条湖鸭,7.25,斤,,2025-04-07 00:00:00,
肉禽蛋,鸭肠,7.0,斤,,2025-04-07 00:00:00,
